Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
07/22/2019|3.41|3.38|3.45|3.45|3.64|3.64|3.72|3.72|3.8|3.8|3.8|3.8|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86
07/29/2019|3.4|3.35|3.43|3.43|3.63|3.63|3.7|3.7|3.79|3.79|3.79|3.79|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79
08/05/2019|3.4|3.38|3.45|3.45|3.62|3.62|3.67|3.67|3.75|3.75|3.75|3.75|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8
08/12/2019|3.37|3.29|3.28|3.28|3.48|3.48|3.54|3.54|3.62|3.62|3.62|3.62|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65|3.65
08/19/2019|3.35|3.28|3.28|3.28|3.47|3.47|3.5|3.5|3.53|3.53|3.53|3.53|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64|3.64
08/26/2019|3.35|3.25|3.25|3.25|3.44|3.44|3.48|3.48|3.51|3.51|3.51|3.51|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59
09/02/2019|3.31|3.22|3.28|3.28|3.47|3.47|3.48|3.48|3.49|3.49|3.49|3.49|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62
09/09/2019|3.49|3.29|3.26|3.26|3.46|3.46|3.49|3.49|3.51|3.51|3.51|3.51|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53
09/16/2019|3.49|3.29|3.35|3.35|3.48|3.48|3.53|3.53|3.56|3.56|3.56|3.56|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6|3.6
09/23/2019|3.49|3.42|3.43|3.43|3.65|3.65|3.69|3.69|3.71|3.71|3.71|3.71|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77
09/30/2019|3.49|3.38|3.35|3.35|3.54|3.54|3.56|3.56|3.59|3.59|3.59|3.59|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69
10/07/2019|3.47|3.36|3.33|3.33|3.54|3.54|3.58|3.58|3.6|3.6|3.6|3.6|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7
10/14/2019|3.47|3.24|3.34|3.34|3.47|3.47|3.53|3.53|3.59|3.59|3.59|3.59|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62
10/21/2019|3.43|3.41|3.4|3.4|3.51|3.51|3.56|3.56|3.61|3.61|3.61|3.61|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74|3.74
10/28/2019|3.44|3.35|3.43|3.43|3.52|3.52|3.57|3.57|3.64|3.64|3.64|3.64|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79
11/04/2019|3.43|3.47|3.46|3.46|3.59|3.59|3.64|3.64|3.69|3.69|3.69|3.69|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82
11/11/2019|3.42|3.34|3.42|3.42|3.51|3.51|3.58|3.58|3.64|3.64|3.64|3.64|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73|3.73
11/18/2019|3.43|3.48|3.48|3.48|3.6|3.6|3.67|3.67|3.71|3.71|3.71|3.71|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8
11/25/2019|3.46|3.49|3.45|3.45|3.55|3.55|3.6|3.6|3.64|3.64|3.64|3.64|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71
12/02/2019|3.47|3.39|3.47|3.47|3.55|3.55|3.61|3.61|3.64|3.64|3.64|3.64|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.22|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72
12/09/2019|3.48|3.46|3.44|3.44|3.55|3.55|3.62|3.62|3.64|3.64|3.64|3.64|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72|3.72
12/16/2019|3.48|3.51|3.47|3.47|3.52|3.52|3.58|3.58|3.6|3.6|3.6|3.6|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79
12/23/2019|3.48|3.52|3.48|3.48|3.53|3.53|3.6|3.6|3.63|3.63|3.63|3.63|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79
12/30/2019|3.48|3.43|3.51|3.51|3.57|3.57|3.65|3.65|3.69|3.69|3.69|3.69|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8
01/06/2020|3.47|3.35|3.46|3.46|3.58|3.58|3.68|3.68|3.74|3.74|3.74|3.74|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78|3.78
01/13/2020|3.47|3.33|3.39|3.39|3.42|3.42|3.51|3.51|3.57|3.57|3.57|3.57|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.17|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7|3.7
01/20/2020|3.46|3.37|3.44|3.44|3.51|3.51|3.59|3.59|3.64|3.64|3.64|3.64|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71
01/27/2020|3.46|3.3|3.36|3.36|3.4|3.4|3.49|3.49|3.55|3.55|3.55|3.55|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.15|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66
02/03/2020|3.45|3.25|3.3|3.3|3.36|3.36|3.42|3.42|3.48|3.48|3.48|3.48|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57
02/10/2020|3.44|3.26|3.27|3.27|3.4|3.4|3.48|3.48|3.55|3.55|3.55|3.55|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51
02/17/2020|3.44|3.27|3.33|3.33|3.4|3.4|3.47|3.47|3.52|3.52|3.52|3.52|3.08|3.08|3.08|3.08|3.08|3.08|3.08|3.08|3.08|3.08|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53
02/24/2020|3.46|3.29|3.25|3.25|3.33|3.33|3.4|3.4|3.45|3.45|3.45|3.45|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.1|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55|3.55
03/02/2020|3.38|3.19|3.17|3.17|3.28|3.28|3.36|3.36|3.42|3.42|3.42|3.42|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.06|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51
03/09/2020|3.33|3.19|3.18|3.18|3.26|3.26|3.38|3.38|3.47|3.47|3.47|3.47|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|2.89|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35
03/16/2020|3.09|3.06|3.13|3.13|3.09|3.09|3.18|3.18|3.18|3.18|3.18|3.18|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42|3.42
03/23/2020|3.15|3.19|3.25|3.25|3.19|3.19|3.41|3.41|3.48|3.48|3.48|3.48|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.16|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71
03/30/2020|3.38|3.34|3.42|3.42|3.46|3.46|3.66|3.66|3.74|3.74|3.74|3.74|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56
04/06/2020|3.37|3.31|3.42|3.42|3.52|3.52|3.65|3.65|3.75|3.75|3.75|3.75|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39
04/13/2020|3.38|3.3|3.42|3.42|3.52|3.52|3.65|3.65|3.73|3.73|3.73|3.73|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39
04/20/2020|3.4|3.25|3.35|3.35|3.46|3.46|3.61|3.61|3.72|3.72|3.72|3.72|2.9|2.9|2.9|2.9|2.9|2.9|2.9|2.9|2.9|2.9|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37|3.37
04/27/2020|3.39|3.28|3.35|3.35|3.4|3.4|3.52|3.52|3.6|3.6|3.6|3.6|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39
05/04/2020|3.37|3.31|3.26|3.26|3.3|3.3|3.41|3.41|3.48|3.48|3.48|3.48|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29
05/11/2020|3.17|3.19|3.19|3.19|3.29|3.29|3.44|3.44|3.54|3.54|3.54|3.54|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|2.83|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32|3.32
05/18/2020|3.18|3.19|3.19|3.19|3.3|3.3|3.46|3.46|3.59|3.59|3.59|3.59|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|2.82|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34|3.34
05/25/2020|3.16|3.17|3.23|3.23|3.33|3.33|3.48|3.48|3.59|3.59|3.59|3.59|2.8|2.8|2.8|2.8|2.8|2.8|2.8|2.8|2.8|2.8|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3
06/01/2020|3.15|3.16|3.2|3.2|3.29|3.29|3.43|3.43|3.55|3.55|3.55|3.55|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21|3.21
06/08/2020|3.15|3.14|3.2|3.2|3.26|3.26|3.42|3.42|3.54|3.54|3.54|3.54|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|2.72|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24
06/15/2020|3.15|3.15|3.19|3.19|3.26|3.26|3.46|3.46|3.61|3.61|3.61|3.61|2.73|2.73|2.73|2.73|2.73|2.73|2.73|2.73|2.73|2.73|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28
06/22/2020|3.13|3.15|3.19|3.19|3.25|3.25|3.42|3.42|3.56|3.56|3.56|3.56|2.69|2.69|2.69|2.69|2.69|2.69|2.69|2.69|2.69|2.69|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19
06/29/2020|3.12|3.14|3.18|3.18|3.28|3.28|3.43|3.43|3.57|3.57|3.57|3.57|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|2.7|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19|3.19
07/06/2020|3.1|3.09|3.04|3.04|3.12|3.12|3.29|3.29|3.43|3.43|3.43|3.43|2.67|2.67|2.67|2.67|2.67|2.67|2.67|2.67|2.67|2.67|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13|3.13
07/13/2020|3.09|3.09|3.06|3.06|3.14|3.14|3.3|3.3|3.45|3.45|3.45|3.45|2.62|2.62|2.62|2.62|2.62|2.62|2.62|2.62|2.62|2.62|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09|3.09
07/20/2020|3.08|3.08|3.07|3.07|3.18|3.18|3.33|3.33|3.47|3.47|3.47|3.47|2.58|2.58|2.58|2.58|2.58|2.58|2.58|2.58|2.58|2.58|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03|3.03
07/27/2020|3.08|3.11|3.08|3.08|3.21|3.21|3.36|3.36|3.48|3.48|3.48|3.48|2.64|2.64|2.64|2.64|2.64|2.64|2.64|2.64|2.64|2.64|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07|3.07
08/03/2020|3.08|3.06|3.07|3.07|3.1|3.1|3.23|3.23|3.35|3.35|3.35|3.35|2.61|2.61|2.61|2.61|2.61|2.61|2.61|2.61|2.61|2.61|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05
08/10/2020|3|2.98|3.01|3.01|3.06|3.06|3.19|3.19|3.31|3.31|3.31|3.31|2.55|2.55|2.55|2.55|2.55|2.55|2.55|2.55|2.55|2.55|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94
08/17/2020|3.01|3.01|3.03|3.03|3.06|3.06|3.21|3.21|3.35|3.35|3.35|3.35|2.57|2.57|2.57|2.57|2.57|2.57|2.57|2.57|2.57|2.57|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02|3.02
08/24/2020|3.02|3.01|2.97|2.97|3.03|3.03|3.2|3.2|3.37|3.37|3.37|3.37|2.64|2.64|2.64|2.64|2.64|2.64|2.64|2.64|2.64|2.64|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05|3.05
08/31/2020|3.01|2.92|2.97|2.97|2.99|2.99|3.17|3.17|3.34|3.34|3.34|3.34|2.56|2.56|2.56|2.56|2.56|2.56|2.56|2.56|2.56|2.56|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97|2.97
09/07/2020|3.01|2.93|2.96|2.96|3.01|3.01|3.19|3.19|3.39|3.39|3.39|3.39|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.53|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99|2.99
09/14/2020|3.01|2.95|3.05|3.05|3.19|3.19|3.37|3.37|3.57|3.57|3.57|3.57|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92|2.92
09/21/2020|3|3.01|2.98|2.98|3.08|3.08|3.24|3.24|3.43|3.43|3.43|3.43|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93
09/28/2020|3|2.92|2.94|2.94|2.98|2.98|3.15|3.15|3.35|3.35|3.35|3.35|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.5|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96|2.96
10/05/2020|2.99|2.9|2.94|2.94|2.98|2.98|3.16|3.16|3.35|3.35|3.35|3.35|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.46|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94|2.94
10/12/2020|2.99|2.89|2.94|2.94|2.97|2.97|3.17|3.17|3.38|3.38|3.38|3.38|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.47|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93|2.93
10/19/2020|2.99|2.9|2.94|2.94|2.98|2.98|3.17|3.17|3.37|3.37|3.37|3.37|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.42|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86|2.86
10/26/2020|2.99|2.97|2.92|2.92|2.99|2.99|3.17|3.17|3.39|3.39|3.39|3.39|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.41|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85|2.85
